ID,Restaurant,Address,Time,Price,District,PriceH,PriceL,Rating,ReviewCount
1,Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,200000,50000,6.007999999999999,100
2,Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 23:59,5.000 - 40.000,Quận 1,40000,5000,5.2,1
3,Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,300000,30000,6.178,100
4,Bếp Chay 365,"Tầng 1, 35 Nguyễn Văn Tráng, P. Bến Thành, Quận 1, TP. HCM",,15.000 - 50.000,Quận 1,50000,15000,5.5,14
5,Bánh Canh Cua Linh,"80A Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",06:20 - 22:00,25.000 - 35.000,Quận 1,35000,25000,7.25,20
6,Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,45.000 - 140.000,Quận 1,140000,45000,5.071428571428571,14
7,Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",06:30 - 21:30,35.000 - 55.000,Quận 1,55000,35000,7.346,100
8,Há Cảo Đặc Biệt Nhà Thờ Đức Bà,"86 Nguyễn Du, Quận 1, TP. HCM",,5.000 - 20.000,Quận 1,20000,5000,8.299999999999999,4
9,Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,88000,30000,6.928,25
11,"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",,27.000 - 100.000,Quận 1,100000,27000,9.466666666666667,45
12,Chè Ngon Cô Ba - Cô Giang,"176 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 100.000,Quận 1,100000,15000,7.828571428571428,7
13,Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,100000,10000,6.825641025641025,39
14,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,100000,10000,6.62,100
